match_type,depth_A,depth_B,similarity,product_A,map_A,product_B,map_B,title_A,title_B,contentId_A,contentId_B
title,4,4,0.9909,cloud,runtime,xdr,xdr_5,Configure engines,Configure engines,R5S6GXKt3YaiRx~9BEJ5kA,vWax7NU3byM3ygNY~AfteA
title,5,4,,cloud,posture,agentix,agentix,Configure external applications for forwarding,Configure external applications for forwarding,VqAbLDwwrhmltUeLF0Mivg,LYJFlS~bmZW8xlL11wBLaQ
title,5,4,0.9976,cloud,runtime,agentix,agentix,Configure external applications for forwarding,Configure external applications for forwarding,VqAbLDwwrhmltUeLF0Mivg,LYJFlS~bmZW8xlL11wBLaQ
title,5,4,0.9976,xdr,xdr_5,xsiam,xsiam_3,Configure external applications for forwarding,Configure external applications for forwarding,OKewKl3u0U3LWDFuqCVOyA,VqAbLDwwrhmltUeLF0Mivg
title,5,4,0.9976,xdr,xdr_5,agentix,agentix,Configure external applications for forwarding,Configure external applications for forwarding,OKewKl3u0U3LWDFuqCVOyA,LYJFlS~bmZW8xlL11wBLaQ
title,4,4,0.9976,xsiam,xsiam_3,agentix,agentix,Configure external applications for forwarding,Configure external applications for forwarding,VqAbLDwwrhmltUeLF0Mivg,LYJFlS~bmZW8xlL11wBLaQ
title,4,4,,cloud,posture,cloud,runtime,Configure filters and inputs for custom XQL widgets,Configure filters and inputs for custom XQL widgets,Jo14vNGxoAUlTT9bnK75Sg,AcN2UyNdps5uMFz~5Bcyag
title,4,4,,cloud,posture,xdr,xdr_5,Configure filters and inputs for custom XQL widgets,Configure filters and inputs for custom XQL widgets,Jo14vNGxoAUlTT9bnK75Sg,RWVtz551GRTqXKFR94hEuw
title,4,4,,cloud,posture,xsiam,xsiam_3,Configure filters and inputs for custom XQL widgets,Configure filters and inputs for custom XQL widgets,Jo14vNGxoAUlTT9bnK75Sg,YgoAhCTcfOf_ScGmJ2obbw
title,4,4,,cloud,posture,agentix,agentix,Configure filters and inputs for custom XQL widgets,Configure filters and inputs for custom XQL widgets,Jo14vNGxoAUlTT9bnK75Sg,UqsXr9MSW9DRXBA_SNrhzw
title,4,4,0.9854,cloud,runtime,xdr,xdr_5,Configure filters and inputs for custom XQL widgets,Configure filters and inputs for custom XQL widgets,AcN2UyNdps5uMFz~5Bcyag,RWVtz551GRTqXKFR94hEuw
title,4,4,0.9973,cloud,runtime,xsiam,xsiam_3,Configure filters and inputs for custom XQL widgets,Configure filters and inputs for custom XQL widgets,AcN2UyNdps5uMFz~5Bcyag,YgoAhCTcfOf_ScGmJ2obbw
title,4,4,0.9907,cloud,runtime,agentix,agentix,Configure filters and inputs for custom XQL widgets,Configure filters and inputs for custom XQL widgets,AcN2UyNdps5uMFz~5Bcyag,UqsXr9MSW9DRXBA_SNrhzw
